"","Fecha","Total Mercadona","Total Dia","Total Carrefour","Total Todos","Frescos Mercadona","Frescos Dia","Frescos Carrefour","Frescos Todos","Drogueria Mercadona","Drogueria Dia","Drogueria Carrefour","Drogueria Todos","Bebidas Mercadona","Bebidas Dia","Bebidas Carrefour","Bebidas Todos","Congelados Mercadona","Congelados Dia","Congelados Carrefour","Congelados Todos","Procesados Mercadona","Procesados Dia","Procesados Carrefour","Procesados Todos","KWh"
"35","2021-04-09 00:00:00",3.02023049061574,3.59097958584227,4.08951123374064,3.44818093385214,2.7572338090011,2.45888192267503,3.70656908665105,2.80945315904139,3.77724122612172,4.91596816976127,4.67248780487805,4.46891767323585,2.91522550544323,3.27252888318357,4.98251572327044,4.46891767323585,2.72221172022684,2.26178385416667,2.6210843373494,2.46903622693096,1.8143425814234,1.90292168674699,2.30367816091954,1.90014981273408,"71.87"
"36","2021-04-10 00:00:00",3.00404707044108,3.58588928150766,4.05502694380293,3.43611211690159,2.71956712328767,2.47204188481675,3.65108771929825,2.79008496732026,3.76651535380507,4.90461949265688,4.52036757775683,4.43428140862944,2.91283281733746,3.26614102564103,5.1717008797654,4.43428140862944,2.72547348484848,2.27103359173127,2.64156626506024,2.47638283378747,1.81359036144578,1.91009036144578,2.37211428571429,1.91065818997756,"65.01"
"37","2021-04-11 00:00:00",3.00574534673036,3.58611447116094,4.01971131639723,3.43095287415847,2.72729967069155,2.47477392218717,3.69011614401858,2.80334787350055,3.76463045414069,4.90663876799464,4.45951841359773,4.42373172282263,2.9125386996904,3.26074074074074,5.09592920353982,4.42373172282263,2.72547348484848,2.26969032258065,2.54248484848485,2.46428474114441,1.81282267792521,1.9125,2.27793103448276,1.89823220973783,"52.01"
"38","2021-04-12 00:00:00",3.00905694535879,3.58453714622642,4.06891746641075,3.44002974458455,2.73990679824561,2.46487907465825,3.7581090487239,2.81719267654752,3.76466844681798,4.91443588885169,4.49837078651685,4.43397175499841,2.9125386996904,3.23844106463878,5.14059171597633,4.43397175499841,2.72235849056604,2.27228791773779,2.57207317073171,2.46773777173913,1.81167671893848,1.91131097560976,2.29156069364162,1.89866917293233,"63.04"
"39","2021-04-13 00:00:00",3.0081093544137,3.58167747641509,4.08019600307456,3.44029046448441,2.74302300109529,2.46434965771459,1.78992277992278,2.54823042168675,3.76602770330652,4.90300066979236,4.53967259120674,4.43693627840458,2.91052550231839,3.25223899371069,5.11920588235294,4.43693627840458,2.71519774011299,2.27254498714653,2.52920731707317,2.46069246435845,1.81112048192771,1.91524539877301,4.08422077922078,2.73751298026999,"75.5"
"40","2021-04-14 00:00:00",3.01256220135113,3.6094128087561,4.08513575525813,3.45542958886371,2.75186097427477,2.46667368421053,1.786138996139,2.55317109884596,3.76915549597855,4.96380920389654,4.55068097014925,4.46810243359313,2.91083462132921,3.26644787644788,5.23093294460641,4.46810243359313,2.71519774011299,2.27583333333333,2.56909090909091,2.46668021680217,1.81009685230024,1.91474006116208,4.02523195876289,2.71894245723173,"73.96"
"41","2021-04-15 00:00:00",3.01578261586673,3.58824454666865,4.05204206500956,3.44178244794707,2.75663561643836,2.47655573164289,1.80869230769231,2.56139768728004,3.77189539561913,4.9108757157292,4.48213619402985,4.43182064351704,2.91234108527132,3.27064935064935,5.20538235294118,4.43182064351704,2.72206049149338,2.26648648648649,2.57774390243902,2.46515646258503,1.81096735187424,1.91881818181818,4.01591784338896,2.71657024793388,"68.19"
"42","2021-04-16 00:00:00",3.01416570391154,3.58645771732703,4.17135145482389,3.46078393262067,2.73534028540066,2.47678082191781,1.75637404580153,2.54768709191361,3.77438839285714,4.91321560713084,4.51288354898336,4.43916759332804,2.91922360248447,3.25386189258312,5.01264705882353,4.43916759332804,2.74201127819549,2.27148717948718,2.576,2.47498307379824,1.80959805115713,1.91722054380665,4.48639580602883,2.89472584856397,"68.93"
"43","2021-04-17 00:00:00",3.01375185858252,3.58788615475838,4.08724466463415,3.44751669584387,2.73755225522552,2.47291754756871,1.78310344827586,2.54873331654495,3.77306970509383,4.91695109612142,4.5171706864564,4.4407578411081,2.93128526645768,3.25706786171575,5.22154970760234,4.4407578411081,2.73501872659176,2.27417948717949,2.59775757575758,2.47666666666667,1.80676363636364,1.91685975609756,4.08178663239075,2.74207146556189,"64.19"
"44","2021-04-18 00:00:00",3.01287037037037,3.57754915003695,4.07087271341463,3.44017166547904,2.73398898071625,2.47588918205805,1.82388461538462,2.55118639798489,3.77306970509383,4.89978114478115,4.53024074074074,4.43529580152672,2.92772727272727,3.23890445859873,5.32125730994152,4.43529580152672,2.73864915572233,2.27348600508906,2.63345454545455,2.4805795148248,1.80574029126214,1.91021276595745,3.93913770913771,2.68243523316062,"64.54"
